_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType

001.2913;+45.2292;999.0000;+99.0000;     3;00 05 09.9;+45 13 45; 6.70; 0.07;  A1Vn
001.2658; -0.5031;999.0000;+99.0000;     6;00 05 03.8;-00 30 11; 6.29; 1.10; gG9
001.3337; -5.7075;999.0000;+99.0000;    28;00 05 20.1;-05 42 27; 4.61; 1.04;  K0IIIbCN-0.5
001.4250;+13.3961;999.0000;+99.0000;    87;00 05 42.0;+13 23 46; 5.51; 0.90;  G5III
001.5667;+58.4367;999.0000;+99.0000;   123;00 06 16.0;+58 26 12; 5.96; 0.67;  G5V
001.5792;-49.0750;999.0000;+99.0000;   142;00 06 19.0;-49 04 30; 5.70; 0.52;  G1IV
001.6104;+64.1961;999.0000;+99.0000;   144;00 06 26.5;+64 11 46; 5.59;-0.03;  B9III
001.6533;+29.0214;999.0000;+99.0000;   166;00 06 36.8;+29 01 17; 6.13; 0.75;  K0V
001.7087;-23.1075;999.0000;+99.0000;   203;00 06 50.1;-23 06 27; 6.18; 0.38;  A7V
001.8258;-17.3864;999.0000;+99.0000;   256;00 07 18.2;-17 23 11; 6.19; 0.14;  A6Vn
001.9337; -2.5489;999.0000;+99.0000;   315;00 07 44.1;-02 32 56; 6.43;-0.14;  B8IIIpSi
001.9450;-22.5089;999.0000;+99.0000;   319;00 07 46.8;-22 30 32; 5.94; 0.14;  A2Vp:
002.0146;-33.5294;999.0000;+99.0000;   344;00 08 03.5;-33 31 46; 5.68; 1.12;  K1III
002.0504; -2.4478;999.0000;+99.0000;   352;00 08 12.1;-02 26 52; 6.07; 1.38;  K2III+F
002.0971;+29.0906;999.0000;+99.0000;   358;00 08 23.3;+29 05 26; 2.06;-0.11;  B8IVpMnHg
002.0725; -8.8239;999.0000;+99.0000;   360;00 08 17.4;-08 49 26; 5.99; 1.04; gG8
002.1708;+36.6267;999.0000;+99.0000;   400;00 08 41.0;+36 37 36; 6.19; 0.48;  F8IV
002.1392;-17.5775;999.0000;+99.0000;   402;00 08 33.4;-17 34 39; 6.06; 1.67;  M0III
