Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS01BSPhotons	1.75E+00	-	6.68E-01	positron	1.32E+00	6.00E-01	7.20E-01	555	 	1.99E+00
AMS01BSPhotons	2.51E+00	-	5.85E-01	positron	5.26E-01	2.77E-01	2.49E-01	555	5.90E-02	1.11E+00
AMS01BSPhotons	3.76E+00	-	2.06E-01	positron	1.70E-01	8.23E-02	8.79E-02	555	3.60E-02	3.76E-01
AMS01BSPhotons	5.27E+00	-	1.24E-01	positron	8.91E-02	4.78E-02	4.13E-02	555	3.49E-02	2.13E-01
AMS01BSPhotons	7.43E+00	-	1.08E-02	positron	1.46E-02	7.38E-03	7.18E-03	555	 	2.54E-02
AMS01BSPhotons	1.19E+01	-	8.83E-03	positron	6.48E-03	3.53E-03	2.95E-03	555	2.35E-03	1.53E-02
AMS01BSPhotons	2.07E+01	-	2.14E-03	positron	2.49E-03	1.22E-03	1.27E-03	555	 	4.63E-03
AMS01BSPhotons	3.82E+01	-	1.17E-04	positron	3.70E-04	1.00E-04	2.70E-04	555	 	4.87E-04
AMS01ST	1.13E+00	-	3.37E+00	positron	1.48E+00	7.30E-01	7.45E-01	555	1.89E+00	4.85E+00
AMS01ST	1.39E+00	-	2.95E+00	positron	1.16E+00	5.88E-01	5.73E-01	555	1.79E+00	4.11E+00
AMS01ST	1.70E+00	-	1.85E+00	positron	6.13E-01	3.01E-01	3.12E-01	555	1.24E+00	2.46E+00
AMS01ST	2.08E+00	-	1.16E+00	positron	6.32E-01	3.10E-01	3.22E-01	555	5.28E-01	1.79E+00
AMS01ST	2.55E+00	-	8.72E-01	positron	7.74E-01	4.03E-01	3.71E-01	555	9.80E-02	1.65E+00
AMS02	5.70E-01	"[5.000e-1,6.500e-1]"	1.31E+00	positron	4.30E-01	2.00E-01	2.30E-01	0	8.80E-01	1.74E+00
AMS02	7.30E-01	"[6.500e-1,8.200e-1]"	2.32E+00	positron	3.50E-01	8.00E-02	2.70E-01	0	1.97E+00	2.67E+00
AMS02	9.10E-01	"[8.200e-1,1.010e+0]"	1.91E+00	positron	1.90E-01	4.00E-02	1.50E-01	0	1.72E+00	2.10E+00
AMS02	1.11E+00	"[1.010e+0,1.220e+0]"	1.55E+00	positron	1.20E-01	2.00E-02	1.00E-01	0	1.43E+00	1.67E+00
AMS02	1.33E+00	"[1.220e+0,1.460e+0]"	1.34E+00	positron	9.00E-02	1.00E-02	8.00E-02	0	1.25E+00	1.43E+00
AMS02	1.58E+00	"[1.460e+0,1.720e+0]"	1.06E+00	positron	6.00E-02	1.00E-02	5.00E-02	0	1.00E+00	1.12E+00
AMS02	1.85E+00	"[1.720e+0,2.000e+0]"	8.01E-01	positron	4.30E-02	5.00E-03	3.80E-02	0	7.58E-01	8.44E-01
AMS02	2.15E+00	"[2.000e+0,2.310e+0]"	6.19E-01	positron	3.20E-02	4.00E-03	2.80E-02	0	5.87E-01	6.51E-01
AMS02	2.47E+00	"[2.310e+0,2.650e+0]"	4.59E-01	positron	2.20E-02	3.00E-03	1.90E-02	0	4.37E-01	4.81E-01
AMS02	2.82E+00	"[2.650e+0,3.000e+0]"	3.43E-01	positron	1.60E-02	2.00E-03	1.40E-02	0	3.27E-01	3.59E-01
AMS02	3.17E+00	"[3.000e+0,3.360e+0]"	2.78E-01	positron	1.30E-02	2.00E-03	1.10E-02	0	2.65E-01	2.91E-01
AMS02	3.54E+00	"[3.360e+0,3.730e+0]"	2.12E-01	positron	9.00E-03	1.00E-03	8.00E-03	0	2.03E-01	2.21E-01
AMS02	3.92E+00	"[3.730e+0,4.120e+0]"	1.64E-01	positron	7.00E-03	1.00E-03	6.00E-03	0	1.57E-01	1.71E-01
AMS02	4.32E+00	"[4.120e+0,4.540e+0]"	1.28E-01	positron	5.00E-03	1.00E-03	4.00E-03	0	1.23E-01	1.33E-01
AMS02	4.76E+00	"[4.540e+0,5.000e+0]"	9.86E-02	positron	3.90E-03	7.00E-04	3.20E-03	0	9.47E-02	1.03E-01
AMS02	5.24E+00	"[5.000e+0,5.490e+0]"	7.76E-02	positron	2.90E-03	5.00E-04	2.40E-03	0	7.47E-02	8.05E-02
AMS02	5.74E+00	"[5.490e+0,6.000e+0]"	5.94E-02	positron	2.20E-03	4.00E-04	1.80E-03	0	5.72E-02	6.16E-02
AMS02	6.26E+00	"[6.000e+0,6.540e+0]"	4.69E-02	positron	1.80E-03	4.00E-04	1.40E-03	0	4.51E-02	4.87E-02
AMS02	6.81E+00	"[6.540e+0,7.100e+0]"	3.74E-02	positron	1.40E-03	3.00E-04	1.10E-03	0	3.60E-02	3.88E-02
AMS02	7.39E+00	"[7.100e+0,7.690e+0]"	2.94E-02	positron	1.10E-03	2.00E-04	9.00E-04	0	2.83E-02	3.05E-02
AMS02	7.99E+00	"[7.690e+0,8.300e+0]"	2.34E-02	positron	9.00E-04	2.00E-04	7.00E-04	0	2.25E-02	2.43E-02
AMS02	8.62E+00	"[8.300e+0,8.950e+0]"	1.91E-02	positron	7.00E-04	2.00E-04	5.00E-04	0	1.84E-02	1.98E-02
