Name	Date	Ksmag_limit	Ksmag	e_Ksmag	Ksmag_Filter	Hmag_limit	Hmag	e_Hmag	Hmag_Filter	Jmag_limit	Jmag	e_Jmag	Jmag_Filter	Imag_limit	Imag	e_Imag	Imag_Filter	Rmag_limit	Rmag	e_Rmag	Rmag_Filter	Vmag_limit	Vmag	e_Vmag	Vmag_Filter	Bmag_limit	Bmag	e_Bmag	Bmag_Filter	Umag_limit	Umag	Umag_Filter	Sigma_X	Ref
CXOU J010043.1-721134	36953				Ks				H				J	>	24.5		F814W				R		24.19	0.15	F606W				B	>	21.7	F300W	3	219
CXOU J010043.1-721134	39211				Ks				H				J	>	25.9		F814W				R	>	26.2		F606W	>	25.6		F439W	>	24.2	F336W	3	231
4U 0142+61	34638				Ks				H				J		23.84	0.06	I		24.99	0.07	R		25.62	0.08	V				B			U		201
4U 0142+61	36199		19.68	0.05	K				H				J				I				R				V				B			U		212
4U 0142+61	36848				Ks				H				J		23.84	0.04	I		24.89	0.05	R		25.62	0.08	V	>	27.4		B			U	3	212
4U 0142+61	36848				Ks				H				J				I				R				V		28.1	0.5	B			U		212
4U 0142+61	37195		20.15	0.08	Ks				H				J				I				R				V				B			U		212
4U 0142+61	37486		19.76	0.05	K'		20.52	0.11	H		21.96	0.12	J				I				R				V				B			U		226
4U 0142+61	37511				Ks				H				J		23.7	0.1	i'				R				V		27.2	0.2	g'	>	25.8	u'		216
4U 0142+61	37608		19.85	0.04	Ks				H				J				I				R				V				B			U		212
4U 0142+61	37623				Ks				H				J		23.77	0.11	I		25.29	0.19	R		26.1	0.18	V				B			U		226
4U 0142+61	37868				Ks				H				J		23.973	0.093	I		25.556	0.177	R		25.316	0.134	V	>	27.2		B			U	3	222
4U 0142+61	37872		20.18	0.08	K'				H				J				I				R				V				B			U		226
4U 0142+61	37873		20.78	0.08	K'		20.9	0.08	H		22.18	0.09	J				I				R				V				B			U		226
4U 0142+61	37878		19.85	0.04	Ks				H				J				I				R				V				B			U		226
4U 0142+61	37923		19.83	0.03	Ks				H				J				I				R				V				B			U		226
4U 0142+61	37976				Ks				H				J		23.44	0.18	I		25.34	0.12	R				V				B			U		226
4U 0142+61	38199		19.73	0.09	K'				H				J				I				R				V				B			U		246
4U 0142+61	38293		19.96	0.07	Ks		20.69	0.12	H		21.97	0.16	J				I				R				V				B			U		226
4U 0142+61	38546				Ks				H				J				I		25.42	0.06	r'				V				B			U		226
4U 0142+61	38559		19.96	0.1	Ks				H				J				I				R				V				B			U		226
SGR 0418+5729	40027	>	19.6		Ks				H				J				I				R				V				B			U	5	251
SGR 0418+5729	40041				Ks				H				J				I	>	24		r				V				B			U	2	258
SGR 0418+5729	40071				Ks				H				J	>	25.1		i'				R				V				B			U	3	248
SGR 0418+5729	40470				Ks				H	>	27.4		F110W				I				R	>	28.6		F606W				B			U	3	253
SGR 0501+4516	39682		18.6		K				H				J				I				R				V				B			U		239
SGR 0501+4516	39684				Ks				H				J				I	>	23		R				V				B			U		233
SGR 0501+4516	39685		19.2	0.2	Ks				H				J				I				R				V				B			U		236
SGR 0501+4516	39685				Ks				H				J		23.3	0.4	I				R				V				B			U		232
SGR 0501+4516	39691		19.1	0.1	K				H				J				I				R				V				B			U		237
SGR 0501+4516	39693				Ks				H				J		23.5	0.4	i				R				V				B			U		235
SGR 0501+4516	39814				Ks				H				J		24.4	0.1	i'				R				V	>	26.9		g'	>	24.7	u'	3	252
SGR 0501+4516	39841		19.7	0.1	K				H				J				I				R				V				B			U		252
SGR 0526-66	36113				Ks				H				J				I				R	>	26.6		F547W	>	24.7		F380W	>	25	F300W	3	204
SGR 0526-66	36277				Ks				H				J	>	26.7		F814W				R				V				B			U	3	204
1E 1048.1-5937	36970				Ks				H				J	>	23.5		I	>	24.5		R	>	25.5		V	>	25.5		B			U		207
1E 1048.1-5937	36974				Ks				H				J	>	24.4		i'	>	24.8		r'				V				B			U	3	208
1E 1048.1-5937	37306	>	20.7		Ks	>	21.5		H	>	23		J				I				R				V				B			U	3	207
1E 1048.1-5937	37354		19.4	0.3	Ks		20.8	0.3	H		21.7	0.3	J				I				R				V				B			U		208
1E 1048.1-5937	37735		21.3	0.3	Ks	>	21.3		H		23.4	0.4	J				I				R				V				B			U		218
1E 1048.1-5937	37778				Ks				H				J	>	24.2		z'	>	26		VR				V				B			U	2	218
1E 1048.1-5937	37778				Ks				H				J		26.2	0.4	I				R				V				B			U		218
1E 1048.1-5937	37779		21.5	0.4	Ks	>	20.8		H				J				I				R				V				B			U	2	218
1E 1048.1-5937	38453	>	20.3		Ks				H				J				I				R				V				B			U	3	238
1E 1048.1-5937	38471	>	20.6		Ks				H				J				I				R				V				B			U	3	238
1E 1048.1-5937	38499		21	0.3	Ks				H				J				I				R				V				B			U		238
1E 1048.1-5937	38509	>	21.4		Ks				H				J				I				R				V				B			U	3	238
1E 1048.1-5937	38774				Ks		22.7	0.14	F160W	>	25		F110W				I				R				V				B			U	3	238
1E 1048.1-5937	38827				Ks	>	23.1		F160W	>	24.8		F110W				I				R				V				B			U	3	238
1E 1048.1-5937	38928				Ks	>	23.3		F160W				J				I				R				V				B			U	3	238
1E 1048.1-5937	38983				Ks	>	22.9		F160W				J				I				R				V				B			U	3	238
1E 1048.1-5937	39176		19.9	0.1	Ks				H				J				I				R				V				B			U		241
1E 1048.1-5937	39209				Ks				H				J		24.9	0.2	I				R				V				B			U		241
1E 1048.1-5937	39210	>	20.1		Ks				H				J				I				R				V				B			U	3	241
