Name	RA	e_RA	DE	e_DE	Confirmed	other_tables	Period	e_Period	Pdot_limit	Pdot	e_Pdot	B_limit	B	E_limit	Edot	Age_limit	Age	NH	e_upper_NH	e_lower_NH	Gamma	e_upper_Gamma	e_lower_Gamma	kT1	e_upper_kT1	e_lower_kT1	kT2	e_upper_kT2	e_lower_kT2	Flux_limit	Flux	e_upper_Flux	e_lower_Flux	Dist	e_upper_Dist	e_lower_Dist	L_limit	L	Assoc	counterpart	Band_H	Band_X	Band_O	Band_I	Band_R	Activity_Bursts	Activity_Flare	Activity_Glitch	Activity_AntiGlitch	Activity_TransientMagnetar	Ref
CXOU J010043.1-721134	01 00 43.140	0.13	-72 11 33.80	0.6	1	M	8.020392	0.000009		1.88	0.08		3.9		1.4		6.8	0.063	0.02	0.016				0.3	0.02	0.02	0.68	0.09	0.07		0.14			62.4	1.6	1.6		65	SMC	M		1									"23, 45, 72, 11"
4U 0142+61	01 46 22.407	0.028	+61 45 03.19	0.2	1	M	8.68832877	0.00000002		0.20332	0.00007		1.3		0.12		68	1	0.01	0.01	3.88	0.01	0.01	0.41	0	0					67.9			3.6	0.4	0.4		105		Y	1	1	1	1		1		1			"29, 35, 24, 18"
SGR 0418+5729	04 18 33.867	0.043	+57 32 22.91	0.35	1	C	9.07838822	0.00000005		0.0004	0.0001		0.061		0.00021		36000	0.115	0.006	0.006				0.32	0.05	0.05					0.002	0.001	0.001	2				0.001		N		1				1				1	"84, 61"
SGR 0501+4516	05 01 06.760	0.01	+45 16 33.92	0.11	1	C	5.76209653	0.00000003		0.582	0.003		1.9		1.2		16	0.6	0.5	0.3				0.38	0.36	0.15					0.83			2				0.4	SNR HB 9?	Y	1	1	1			1					"54, 51, 64, 40"
SGR 0526-66	05 26 00.890	0.1	-66 04 36.30	0.6	1	M	8.0544	0.0002		3.8	0.1		5.6		2.9		3.4	0.604	0.058	0.059	2.5	0.11	0.12	0.44	0.02	0.02					0.55			53.6	1.2	1.2		189	LMC; SNR N49?; SL 463	N		1				1	1				"52, 76, 71, 19, 14"
1E 1048.1-5937	10 50 07.140	0.08	-59 53 21.40	0.6	1	M	6.4578754	0.0000025		2.25			3.9		3.3		4.5	0.97	0.01	0.01	3.14	0.11	0.11	0.56	0.01	0.01					5.1	0.1	0.1	9	1.7	1.7		49	GSH 288.3-0.5-28?	Y	1	1	1			1		1			"48, 43, 24, 21, 12"
1E 1547.0-5408	15 50 54.124	0.00064	-54 18 24.11	0.002	1	M	2.0721255	0.0000001		4.77			3.2		210		0.69	3.2	0.2	0.2	4	0.2	0.2	0.43	0.03	0.03					0.54			4.5	0.5	0.5		1.3	SNR G327.24-0.13	M	1	1			1	1				1	"70, 62, 60, 31, 69"
PSR J1622-4950	16 22 44.890	0.08	-49 50 52.70	0.8	1	M	4.3261	0.0001		1.7	0.1		2.7		8.3		4	5.4	1.6	1.4				0.5	0.1	0.1					0.045	0.063	0.028	9				0.44	SNR G333.9+0.0	N		1			1						"58, 68"
SGR 1627-41	16 35 51.844	0.02	-47 35 23.31	0.2	1	M	2.594578	0.000006		1.9	0.4		2.2		43		2.2	10	2	2	2.9	0.8	0.8								0.25	0.17	0.1	11	0.3	0.3		3.6	CTB 33; MC -71; SNR G337.0-0.1	N		1				1				1	"50, 49, 39, 67, 4, 20"
CXOU J164710.2-455216	16 47 10.200	0.03	-45 52 16.90	0.3	1	M	10.610644	0.000017	<	0.04		<	0.66	<	0.013	>	420	2.39	0.05	0.05	3.86	0.22	0.22	0.59	0.06	0.06					0.25	0.04	0.04	3.9	0.7	0.7		0.45	Westerlund 1	N		1				1				1	"81, 33, 26"
