Name	Confirmed	Period	e_Period	Pdot	e_Pdot	B_limit	B	NH_limit	NH	e_upper_NH	e_lower_NH	lower_bound_NH	upper_bound_NH	Gamma	e_upper_Gamma	e_lower_Gamma	lower_bound_Gamma	upper_bound_Gamma	kT1	e_upper_kT1	e_lower_kT1	lower_bound_kT1	upper_bound_kT1	kT2	e_upper_kT2	e_lower_kT2	Flux_limit	Flux	e_upper_Flux	e_lower_Flux	Spectral	Dist_limit	Dist	e_upper_Dist	e_lower_Dist	Ref_P_Pdot	Ref_NH_G_kT	Ref_Dist
CXOU J010043.1-721134	1								0.3	0.4	0.4			2	0.6	0.6			0.38	0.02	0.02							0.16									129	
CXOU J010043.1-721134	1								0.063	0.02	0.016								0.3	0.02	0.02			0.68	0.09	0.07		0.14									152	
4U 0142+61	1								0.88	0.13	0.13			3.3	0.4	0.4			0.42	0.01	0.01												3.5	1.5	0.8		113	108
4U 0142+61	1								0.93	0.02	0.02			3.4	0.06	0.06	3.23	3.46	0.47	0.01	0.01	0.443	0.475					83					3.6	0.4	0.4		117	133
4U 0142+61	1								0.96	0.02	0.02			3.62	0.05	0.05	3.3	3.55	0.4	0	0	0.36	0.4					70.2									128	
4U 0142+61	1								1	0.01	0.01	0.908	0.975	3.88	0.01	0.01	3.68	3.95	0.41	0	0	0.402	0.42					67.9									144	
SGR 0526-66	1	8.047	0.0002	6.5	0.5				0.46	0.07	0.05			3.27	0.07	0.04												0.48	0.03	0.03						116	158	
SGR 0526-66	1	8.0544	0.0002	3.8	0.1				0.604	0.058	0.059			2.5	0.11	0.12			0.44	0.02	0.02							0.55								158	169	
1E 1048.1-5937	1					0.75	10		0.96	0.09	0.09			2.9	0.2	0.2			0.63	0.04	0.04							5.4					2.7	1	1	121	123	127
1E 1048.1-5937	1	6.4578754	0.0000025	2.25		1.25	5		0.97	0.01	0.01			3.31	0.22	0.22			0.66	0.02	0.02							4.8	0.4	0.4			9	1.7	1.7	156	151	133
1E 1048.1-5937	1								0.97	0.01	0.01			3.14	0.11	0.11			0.56	0.01	0.01							5.1	0.1	0.1							151	
1E 1547.0-5408	1	2.06983302	0.00000004	2.318	0.005				3.1	0.7	0.8			3.7	0.8	2			0.43	0.03	0.04							0.44					9			138	141	138
1E 1547.0-5408	1					2.35	3.16		3.2	0.2	0.2			4	0.2	0.2			0.43	0.03	0.03							0.54					4.5	0.5	0.5	148	163	162
1E 1547.0-5408	1	2.0721255	0.0000001	4.77		2.66	9.78																													165		
PSR J1622-4950	1					0.936	1.94																													167		
SGR 1627-41	1								9	0.7	0.7			2.95	0.36	0.36												0.266					5.8				115	102
SGR 1627-41	1								11.4	4.3	1.9			3.7	0.5	0.5												0.32	0.09	0.09			11	0.3	0.3		134	104
SGR 1627-41	1								10	2	2			3.3	0.6	0.4												0.17	0.15	0.08							149	
SGR 1627-41	1													2.9	0.8	0.8												0.25	0.17	0.1							164	
CXOU J164710.2-455216	1																																4	1.5	2			126
CXOU J164710.2-455216	1																																3.9	0.7	0.7			142
1RXS J170849.0-400910	1								1.42	0.15	0.15	1	2	2.62	0.17	0.17	1.9	3.15	0.46	0.03	0.03	0.38	0.535					42.1									111	
1RXS J170849.0-400910	1								1.36	0.06	0.06	1.1	1.6	2.4	0.06	0.06	2	2.9	0.44	0.01	0.01	0.42	0.49					69.4									118	
1RXS J170849.0-400910	1								1.36	0.03	0.03	1.28	1.66	2.83	0.03	0.08	2.2	3.2	0.46	0.01	0.01	0.35	0.52					24.5									131	
1RXS J170849.0-400910	1								1.36	0.04	0.04			2.74	0.02	0.08			0.42	0.02	0.02							36.8									139	
1RXS J170849.0-400910	1								1.36	0.04	0.04			2.792	0.008	0.012			0.46	0.01	0							24.3									143	
CXOU J171405.7-381031	1	3.823056	0.000018	5.88	0.08				5.36	0.34	0.34			4.12	0.22	0.22												3.5					10.2	3.5	3.5	159	159	101
CXOU J171405.7-381031	1	3.824936	0.000017	10.5	0.5				3.95	0.15	0.14			3.45	0.09	0.08												2.68	0.09	0.09			7	2	2	159	160	146
CXOU J171405.7-381031	1	3.825352	0.000004	6.4	0.05																												13.2			160		172
SGR 1806-20	1	7.48271	0.00003	8.27	0.18				6.78	0.2	0.22			1.36	0.05	0.05			0.65	0.07	0.06												15.1	1.8	1.3	109	130	120
SGR 1806-20	1	7.4896965	0.0000004	36.91	0.06				7.19	0.12	0.12			1.59	0.2	0.2			0.52	0.07	0.07							18.1	2.1	2.1	a		8	1.8	1.6	114	145	125
SGR 1806-20	1	7.547728	0.000017	49.5		28.6	81.1		6.9	0.4	0.4			1.6	0.1	0.1			0.55	0.07	0.07							18	1	1			8.7	1.8	1.5	145	140	147
SGR 1806-20	1	7.561152	0.0000006	16.4	0.2																															145		
SGR 1806-20	1	7.6022	0.0007	75	4																															157		
XTE J1810-197	1	5.5403537	0.0000002	0.777	0.003	0.43	1.04		0.63	0.05	0.05								0.18	0.03	0.03							0.03	0.011	0.011	a		3.3			137	122	132
XTE J1810-197	1								0.63	0.05	0.05								0.19	0.03	0.03												3.1	0.5	0.5		154	133
XTE J1810-197	1								0.6	0.01	0.01								0.17	0	0			0.33	0.01	0.01							3.5	0.5	0.4		154	150
XTE J1810-197	1								0.72	0.02	0.02								0.14	0	0			0.3	0	0											154	
Swift J1822.3-1606	1	8.43772016	0.00000002	0.0083	0.0002			<	0.7										0.2	0.05	0.05						<	0.025								170	170	
Swift J1822.3-1606	1	8.43771958	0.00000006	0.0306	0.0021				0.453	0.008	0.008								0.12	0.02	0.02						<	0.001								171	171	
SGR 1900+14	1	5.1558199	0.0000029	6.126	0.006				2.12	0.08	0.08			1.9	0.1	0.1			0.47	0.02	0.02							4.8	0.2	0.2			13.5	1.5	1.5	107	135	110
SGR 1900+14	1	5.160199	0.000002	14.06	0.05				3.2	0.9	0.7			2.8	0.3	0.5			0.29	0.17	0.1												12.5	1.7	1.7	106	157	155
SGR 1900+14	1	5.1689178	0.0000002	7.783	0.008	6.68	20																													114		
SGR 1900+14	1	5.1728483	0.0000004	17.55	0.24																															119		
SGR 1900+14	1	5.19987	0.00007	9.2	0.4																															135		
1E 2259+586	1								0.93	0.03	0.03			3.6	0.1	0.1	3.4	3.9	0.41	0.01	0.01	0.39	0.43					20	2	2			7.5	1	1		112	133
1E 2259+586	1								1.012	0.007	0.007			3.75	0.04	0.04			0.37	0.01	0.01							14.1	0.3	0.3			4	0.8	0.8		153	161
1E 2259+586	1								1.098	0.012	0.012			4.1	0.03	0.03	3.88	4.39	0.41	0	0	0.384	0.44					16.3	0.2	0.2			3.2	0.2	0.2		124	166
1E 2259+586	1								1.012	0.007	0.007			3.75	0.03	0.03			0.4	0.01	0.01							17.7	0.3	0.3							153	
AX J1818.8-1559	0								3.6	0.5	0.5			1.17	0.17	0.17												1.68	0.16	0.15	b						168	
AX J1818.8-1559	0								1.6	0.3	0.3								1.87	0.12	0.12							1.37	0.1	0.1	b						168	
AX J1818.8-1559	0								4.5	0.6	0.5			1.56	0.22	0.22												1.36	0.19	0.14	b						168	
AX J1818.8-1559	0								2.5	0.3	0.3								1.42	0.11	0.09							0.99	0.1	0.09	b						168	
AX J1845.0-0258	0								7.8	2.3	1.8			1	0.5	0.3												0.33	0.07	0.08	b		8.5				136	103
AX J1845.0-0258	0								5.6	1.6	1.2								2	0.4	0.3							0.4	0.1	0.11	b	<	20				136	105
